T	Ref-test1a-s1	Ref-test1a-s2	Ref-test1b-s1	Ref-test1b-s2	Ref-test1c-s1	Ref-test1c-s2	Ref-test1d-s1	Ref-test1d-s2	Ref-test1e-s1	Ref-test1e-s2	Ref-test1f-s1	Ref-test1f-s2	Ref-test3-s1	Ref-test3-s2	Ref-test4-s1	Ref-test4-s2	Results-test1a-s1	Results-test1a-s2	Results-test1b-s1	Results-test1b-s2	Results-test1c-s1	Results-test1c-s2	Results-test1d-s1	Results-test1d-s2	Results-test1e-s1	Results-test1e-s2	Results-test1f-s1	Results-test1f-s2	Results-test3-s1	Results-test3-s2	Results-test4-s1	Results-test4-s2
0.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0	300.0
1.0	300.27618	300.03043	300.27182	300.03156	300.27826	300.03043	300.2786	300.0304	300.21973	300.03043	300.21973	300.02295	300.27686	300.0001	300.27686	300.0001	300.39	300.0	300.351	300.0	300.376	300.0	300.376	300.0	300.373	300.0	300.254	300.0	300.37	300.0	300.37	300.0
2.0	300.751	300.1208	300.7406	300.13367	300.75568	300.11853	300.7564	300.1183	300.62296	300.11838	300.62296	300.09897	300.75537	300.0052	300.75537	300.00497	300.867	300.215	300.796	300.237	300.845	300.214	300.846	300.215	300.84	300.21	300.658	300.169	300.841	300.189	300.841	300.189
3.0	301.23203	300.21494	301.2159	300.2469	301.239	300.20813	301.24014	300.2075	301.11142	300.20764	301.11142	300.1929	301.24216	300.02203	301.24216	300.02145	301.347	300.306	301.253	300.343	301.323	300.304	301.324	300.305	301.316	300.296	301.116	300.263	301.325	300.389	301.325	300.389
4.0	301.69696	300.30438	301.6752	300.35803	301.70615	300.29205	301.70767	300.29092	301.58606	300.2911	301.58606	300.2829	301.7164	300.0491	301.71643	300.04825	301.803	300.385	301.695	300.434	301.781	300.383	301.783	300.385	301.772	300.372	301.577	300.345	301.795	300.574	301.795	300.574
5.0	302.13663	300.3887	302.10892	300.4643	302.148	300.37054	302.1499	300.36893	302.0359	300.36914	302.0359	300.36777	302.1682	300.0811	302.1683	300.0801	302.231	300.457	302.114	300.517	302.214	300.456	302.217	300.459	302.204	300.441	302.021	300.422	302.243	300.745	302.243	300.744
6.0	302.5502	300.4688	302.516	300.56595	302.56384	300.44495	302.56613	300.44287	302.45938	300.44308	302.45938	300.44836	302.59662	300.11526	302.59674	300.11414	302.634	300.526	302.511	300.596	302.623	300.525	302.626	300.528	302.612	300.507	302.442	300.495	302.671	300.904	302.671	300.903
7.0	302.94113	300.546	302.8998	300.664	302.95715	300.51657	302.9598	300.51404	302.8584	300.51425	302.8584	300.5258	303.00473	300.1502	303.00488	300.149	303.013	300.591	302.887	300.671	303.01	300.59	303.013	300.595	302.998	300.57	302.84	300.564	303.079	301.053	303.079	301.051
8.0	303.3123	300.62097	303.2632	300.75912	303.33075	300.58624	303.3338	300.58328	303.2357	300.5835	303.2357	300.60095	303.39505	300.1853	303.39526	300.18396	303.372	300.655	303.244	300.743	303.377	300.654	303.381	300.659	303.364	300.631	303.217	300.629	303.47	301.194	303.47	301.192
9.0	303.66617	300.69434	303.6087	300.85208	303.68716	300.65457	303.6906	300.6512	303.5938	300.6514	303.5938	300.6744	303.76996	300.22043	303.7702	300.219	303.713	300.716	303.585	300.813	303.727	300.715	303.732	300.721	303.714	300.69	303.575	300.692	303.846	301.329	303.846	301.327
10.0	304.00253	300.76633	303.93604	300.9431	304.02615	300.7217	304.03	300.71796	303.93524	300.71814	303.93524	300.7466	304.12927	300.2556	304.12958	300.25406	304.039	300.775	303.911	300.881	304.062	300.775	304.067	300.781	304.048	300.747	303.916	300.753	304.208	301.459	304.208	301.457
11.0	304.32532	300.8373	304.24924	301.03262	304.3516	300.78806	304.3558	300.78394	304.2618	300.7841	304.2618	300.8178	304.47653	300.29077	304.4769	300.2891	304.351	300.832	304.223	300.947	304.383	300.832	304.389	300.839	304.369	300.802	304.243	300.812	304.558	301.585	304.559	301.582
12.0	304.63596	300.9075	304.5498	301.1209	304.66498	300.85376	304.6696	300.8493	304.57504	300.84943	304.57504	300.88812	304.81317	300.3261	304.8136	300.3243	304.651	300.888	304.524	301.012	304.692	300.888	304.698	300.896	304.677	300.856	304.556	300.869	304.898	301.706	304.898	301.703
13.0	304.9341	300.97693	304.8374	301.208	304.96588	300.91885	304.9709	300.91403	304.8765	300.91415	304.8765	300.95776	305.13892	300.36176	305.13937	300.35983	304.94	300.943	304.815	301.075	304.99	300.943	304.996	300.951	304.975	300.909	304.857	300.925	305.228	301.825	305.228	301.821
14.0	305.22238	301.04575	305.1147	301.29416	305.25696	300.98346	305.26233	300.9783	305.1672	300.9784	305.1672	301.02673	305.45612	300.39764	305.45663	300.3956	305.219	300.996	305.095	301.136	305.278	300.996	305.285	301.005	305.263	300.96	305.147	300.979	305.549	301.94	305.55	301.937
15.0	305.50174	301.114	305.3827	301.37943	305.5391	301.04764	305.5449	301.04218	305.4482	301.04224	305.4482	301.09515	305.7657	300.43393	305.76627	300.4318	305.489	301.048	305.368	301.196	305.557	301.048	305.565	301.057	305.542	301.01	305.428	301.031	305.863	302.052	305.863	302.049
16.0	305.77176	301.18176	305.64096	301.4638	305.81192	301.11136	305.81808	301.1056	305.7205	301.10562	305.7205	301.16306	306.06738	300.47076	306.06802	300.4685	305.751	301.098	305.632	301.254	305.829	301.099	305.836	301.108	305.812	301.059	305.701	301.082	306.169	302.163	306.17	302.159
17.0	306.03424	301.24905	305.8914	301.5475	306.07724	301.17474	306.08377	301.16864	305.98468	301.16867	305.98468	301.23047	306.36285	300.5081	306.36353	300.50568	306.006	301.148	305.889	301.311	306.092	301.149	306.1	301.159	306.076	301.107	305.965	301.132	306.469	302.271	306.47	302.267
18.0	306.2899	301.31592	306.13464	301.63043	306.3357	301.23776	306.34262	301.23135	306.24146	301.23138	306.24146	301.29745	306.65268	300.54593	306.65338	300.54343	306.254	301.197	306.14	301.367	306.349	301.197	306.358	301.208	306.333	301.153	306.222	301.181	306.763	302.377	306.764	302.374
19.0	306.5382	301.38235	306.3703	301.71265	306.58685	301.3004	306.59418	301.29373	306.4915	301.2937	306.4915	301.36404	306.9366	300.58444	306.93738	300.58182	306.496	301.244	306.385	301.422	306.6	301.245	306.609	301.256	306.583	301.199	306.473	301.229	307.052	302.482	307.053	302.478
20.0	306.78064	301.4484	306.59973	301.79425	306.83212	301.36273	306.8398	301.35577	306.73523	301.35574	306.73523	301.4302	307.21588	300.62354	307.2167	300.6208	306.732	301.291	306.624	301.476	306.845	301.292	306.854	301.303	306.828	301.244	306.718	301.276	307.336	302.585	307.337	302.581
21.0	307.01758	301.5141	306.82346	301.87524	307.0719	301.42477	307.07996	301.41754	306.97308	301.41748	306.97308	301.49603	307.49084	300.66327	307.49173	300.6604	306.963	301.337	306.859	301.529	307.085	301.338	307.094	301.349	307.068	301.289	306.957	301.322	307.615	302.687	307.616	302.683
22.0	307.24863	301.5794	307.041	301.95557	307.3058	301.48648	307.3142	301.47897	307.2055	301.47888	307.2055	301.5615	307.76135	300.7037	307.76227	300.7007	307.19	301.382	307.089	301.582	307.32	301.383	307.33	301.394	307.302	301.332	307.192	301.367	307.891	302.788	307.892	302.783
23.0	307.47482	301.6444	307.25345	302.0353	307.53485	301.5479	307.54364	301.54013	307.4328	301.54	307.4328	301.6266	308.0282	300.74478	308.02917	300.74167	307.412	301.426	307.315	301.633	307.55	301.427	307.561	301.439	307.533	301.375	307.422	301.411	308.162	302.887	308.164	302.883
24.0	307.69647	301.70905	307.46112	302.11453	307.75937	301.60907	307.76855	301.60104	307.65527	301.6009	307.65527	301.69135	308.29175	300.78653	308.29276	300.7833	307.629	301.47	307.536	301.684	307.777	301.471	307.787	301.483	307.759	301.417	307.647	301.455	308.431	302.986	308.432	302.981
25.0	307.9132	301.77338	307.6636	302.19308	307.979	301.66995	307.98856	301.66162	307.87323	301.66144	307.87323	301.7558	308.55173	300.82898	308.5528	300.82562	307.844	301.513	307.754	301.734	307.999	301.514	308.01	301.526	307.981	301.459	307.869	301.498	308.696	303.083	308.697	303.079
26.0	308.12585	301.83737	307.8618	302.27112	308.19455	301.73053	308.20447	301.72195	308.08688	301.72177	308.08688	301.81995	308.80887	300.8721	308.80994	300.86865	308.054	301.555	307.969	301.783	308.218	301.556	308.229	301.569	308.2	301.5	308.087	301.541	308.958	303.18	308.959	303.175
27.0	308.33463	301.90106	308.05588	302.34863	308.40622	301.7909	308.4165	301.78207	308.29642	301.78183	308.29642	301.88376	309.0633	300.9159	309.06442	300.9123	308.261	301.597	308.181	301.832	308.433	301.598	308.444	301.611	308.415	301.54	308.302	301.583	309.217	303.276	309.218	303.271
28.0	308.53915	301.96445	308.2455	302.42557	308.61368	301.85095	308.62436	301.84186	308.50208	301.8416	308.50208	301.94727	309.31488	300.96042	309.31604	300.9567	308.465	301.639	308.389	301.88	308.645	301.639	308.657	301.653	308.627	301.58	308.513	301.624	309.474	303.372	309.475	303.367
29.0	308.74014	302.02753	308.43137	302.50195	308.81763	301.91077	308.82864	301.90143	308.704	301.90115	308.704	302.0105	309.5641	301.0056	309.56528	301.00177	308.667	301.679	308.595	301.928	308.854	301.68	308.866	301.694	308.836	301.619	308.722	301.665	309.728	303.466	309.73	303.461
